Ligand Short Name,Base File Name,KD1,KD2,Alpha,SC
Gen_8_Cross_928393,Gen_8_Cross_928393__4,2.7246083163852164e-05,4.92419035910961e-07,55.331092376328826,-10.32401464969257
Gen_8_Cross_354757,Gen_8_Cross_354757__3,3.2530242305895744e-06,1.0770362963297668e-07,30.203478208440654,-12.23097299537704
Gen_8_Cross_70554,Gen_8_Cross_70554__2,0.0006560427224218208,3.7365789172835235e-06,175.57309425134824,-7.287776143443269
Gen_8_Cross_675538,Gen_8_Cross_675538__2,475.12119357653404,0.00010948964181059926,4339416.822628964,6.163568495494571
Gen_8_Cross_474438,Gen_8_Cross_474438__2,0.0001350438434133947,1.1456700303328867e-06,117.8732443355931,-8.83495802598509
Gen_8_Cross_593339,Gen_8_Cross_593339__5,0.0010000194256531492,5.571771015598962e-05,17.94796345459017,-6.543172354644952
Gen_8_Mutant_13_44475,Gen_8_Mutant_13_44475__3,1.9057913801671e+19,1.9014914803386492e-06,1.0022613300521783e+25,44.394014111861324
Gen_8_Cross_131060,Gen_8_Cross_131060__2,2.0417883625026136e+30,2.394796092397286e-05,8.525938258312014e+34,69.7913788619314
Gen_8_Cross_236774,Gen_8_Cross_236774__5,2.3097912024045772e-05,1.0770362963297668e-07,214.45806518087537,-10.626219162935445
Gen_8_Mutant_10_803559,Gen_8_Mutant_10_803559__5,6.003396891077583e-05,2.2513308767194835e-06,26.66599100628605,-9.369244438594649
Gen_8_Cross_887108,Gen_8_Cross_887108__3,5.414079384506017e-05,9.676417733548232e-07,55.95127797899167,-9.651425645946162
Gen_8_Cross_868278,Gen_8_Cross_868278__4,2.2602053448058084e-05,4.1590092830141227e-07,54.34480163429184,-10.504182088406214
Gen_8_Mutant_13_44475,Gen_8_Mutant_13_44475__1,7.738488116071367e+36,8.693584466298958e-06,8.901377959885175e+41,84.93926968246623
Gen_8_Mutant_12_338970,Gen_8_Mutant_12_338970__2,124466394.3804778,3.5127314248113844e-07,354329378845583.1,18.63954631277797
Gen_8_Cross_654338,Gen_8_Cross_654338__5,0.0037878432116294322,1.9014914803386492e-06,1992.0379611455478,-5.57316077716133
Gen_8_Mutant_24_439956,Gen_8_Mutant_24_439956__3,0.00011796146531135582,7.342668715297711e-06,16.065203250365222,-8.515117695722678
Gen_8_Cross_895522,Gen_8_Cross_895522__3,6.671610425305975e-06,7.683170161732237e-08,86.83408391155302,-11.781965632003617
Gen_8_Mutant_11_818048,Gen_8_Mutant_11_818048__5,1.866176549853641e-05,5.830150654334497e-07,32.00906220950241,-10.559153622342231
Gen_8_Mutant_13_856177,Gen_8_Mutant_13_856177__1,0.000814148510767706,0.000592683003367853,1.3736660341892728,-4.11658234305411
Gen_8_Cross_394904,Gen_8_Cross_394904__5,5.951916518101973e-06,5.480883414541699e-08,108.59410915967568,-11.922012213279574
Gen_8_Cross_980011,Gen_8_Cross_980011__4,6.84196863194178e-06,1.0770362963297668e-07,63.525887245000575,-11.708130189218
Gen_8_Cross_895522,Gen_8_Cross_895522__1,7.148848527396926e-06,9.096731904955463e-08,78.58699807897577,-11.699683694928764
Gen_8_Cross_474343,Gen_8_Cross_474343__3,1.0303305022609515e-05,2.505849929223415e-07,41.11700745703715,-11.210399547999533
Gen_8_Mutant_18_241701,Gen_8_Mutant_18_241701__1,0.0003474020810924536,4.42404058959089e-06,78.52597055954665,-7.8648714042835115
Gen_8_Cross_62845,Gen_8_Cross_62845__3,22618510614337.777,1.6060144189329578e-06,1.408362860737303e+19,30.749789740697082
Gen_8_Cross_202935,Gen_8_Cross_202935__2,5.803915756108568e-06,4.629196545585792e-08,125.37630880336975,-11.961572373882065
Gen_8_Cross_926710,Gen_8_Cross_926710__2,0.07385799854090748,2.6655342760556763e-06,27708.51577650648,-2.6055169348611416
Gen_8_Cross_809173,Gen_8_Cross_809173__3,3.0662074292927074e-05,2.966880144570127e-07,103.34786981214478,-10.292889435207115
Gen_8_Cross_277924,Gen_8_Cross_277924__4,0.0002503770777091089,4.42404058959089e-06,56.594661065770715,-8.148561368901136
Gen_8_Cross_501033,Gen_8_Cross_501033__1,7.274898352013265e-05,5.480883414541699e-08,1327.3222219454155,-9.521322292751616
Gen_8_Cross_675538,Gen_8_Cross_675538__5,1.8111427711637843e+24,0.00018172214998736795,9.966549324282606e+27,55.85600024319148
Gen_8_Cross_202935,Gen_8_Cross_202935__3,6.497478639900138e-06,6.902790951075892e-07,9.41282835588034,-10.797040442833522
Gen_8_Mutant_13_44475,Gen_8_Mutant_13_44475__4,2.508422078501814e+18,1.4428916143916895e-05,1.7384688173957837e+23,42.3661855753674
Gen_8_Cross_509303,Gen_8_Cross_509303__2,1.2370705330804224e-05,4.1590092830141227e-07,29.744356141082978,-10.932626385562033
